"cid","site","nARTR","nNonARTR","nARTRgt25","nNonARTRgt25","nShrubs","val","ucid"
81,"Cold",8,0,8,0,8,1,"Cold_81"
82,"Cold",2,0,2,0,2,0,"Cold_82"
83,"Cold",5,7,5,1,12,0,"Cold_83"
84,"Cold",2,7,2,0,9,1,"Cold_84"
85,"Cold",0,7,0,0,7,0,"Cold_85"
86,"Cold",3,0,3,0,3,0,"Cold_86"
87,"Cold",10,2,10,0,12,1,"Cold_87"
88,"Cold",0,0,0,0,0,0,"Cold_88"
89,"Cold",0,7,0,0,7,0,"Cold_89"
90,"Cold",0,2,0,0,2,0,"Cold_90"
91,"Cold",0,0,0,0,0,0,"Cold_91"
92,"Cold",0,1,0,0,1,0,"Cold_92"
93,"Cold",1,4,1,1,5,0,"Cold_93"
94,"Cold",1,11,1,1,12,1,"Cold_94"
95,"Cold",2,1,2,0,3,0,"Cold_95"
96,"Cold",0,0,0,0,0,0,"Cold_96"
97,"Cold",0,0,0,0,0,0,"Cold_97"
98,"Cold",0,1,0,0,1,0,"Cold_98"
99,"Cold",1,7,1,0,8,0,"Cold_99"
100,"Cold",0,3,0,0,3,0,"Cold_100"
101,"Cold",1,0,1,0,1,0,"Cold_101"
102,"Cold",0,0,0,0,0,0,"Cold_102"
103,"Cold",7,0,7,0,7,0,"Cold_103"
104,"Cold",9,0,9,0,9,0,"Cold_104"
105,"Cold",1,0,1,0,1,0,"Cold_105"
106,"Cold",1,1,1,0,2,0,"Cold_106"
107,"Cold",0,0,0,0,0,0,"Cold_107"
108,"Cold",2,0,2,0,2,0,"Cold_108"
109,"Cold",3,0,3,0,3,0,"Cold_109"
110,"Cold",0,0,0,0,0,0,"Cold_110"
111,"Cold",0,0,0,0,0,0,"Cold_111"
112,"Cold",0,0,0,0,0,0,"Cold_112"
113,"Cold",0,7,0,4,7,0,"Cold_113"
114,"Cold",0,6,0,0,6,1,"Cold_114"
115,"Cold",1,5,1,0,6,0,"Cold_115"
116,"Cold",1,2,1,0,3,0,"Cold_116"
117,"Cold",1,5,1,0,6,0,"Cold_117"
118,"Cold",0,7,0,0,7,0,"Cold_118"
119,"Cold",0,2,0,0,2,1,"Cold_119"
120,"Cold",0,0,0,0,0,0,"Cold_120"
121,"Cold",3,2,3,2,5,0,"Cold_121"
122,"Cold",0,7,0,0,7,1,"Cold_122"
123,"Cold",3,1,3,0,4,0,"Cold_123"
124,"Cold",0,0,0,0,0,0,"Cold_124"
125,"Cold",4,0,4,0,4,0,"Cold_125"
126,"Cold",5,16,5,1,21,1,"Cold_126"
127,"Cold",1,4,1,3,5,0,"Cold_127"
128,"Cold",0,0,0,0,0,0,"Cold_128"
129,"Cold",0,0,0,0,0,0,"Cold_129"
130,"Cold",0,0,0,0,0,1,"Cold_130"
131,"Cold",0,0,0,0,0,0,"Cold_131"
132,"Cold",0,0,0,0,0,0,"Cold_132"
133,"Cold",2,0,2,0,2,0,"Cold_133"
134,"Cold",13,0,5,0,13,1,"Cold_134"
135,"Cold",4,5,3,4,9,0,"Cold_135"
136,"Cold",4,1,4,0,5,0,"Cold_136"
137,"Cold",0,1,0,0,1,0,"Cold_137"
138,"Cold",1,5,1,0,6,0,"Cold_138"
139,"Cold",0,14,0,1,14,1,"Cold_139"
140,"Cold",0,10,0,1,10,0,"Cold_140"
141,"Cold",1,9,1,0,10,0,"Cold_141"
142,"Cold",2,6,2,0,8,0,"Cold_142"
143,"Cold",0,2,0,1,2,0,"Cold_143"
144,"Cold",2,3,2,0,5,0,"Cold_144"
145,"Cold",1,1,1,0,2,0,"Cold_145"
146,"Cold",0,0,0,0,0,0,"Cold_146"
147,"Cold",0,5,0,0,5,0,"Cold_147"
148,"Cold",2,13,2,2,15,0,"Cold_148"
149,"Cold",0,1,0,0,1,0,"Cold_149"
150,"Cold",0,0,0,0,0,0,"Cold_150"
151,"Cold",0,0,0,0,0,0,"Cold_151"
152,"Cold",0,0,0,0,0,0,"Cold_152"
153,"Cold",0,0,0,0,0,0,"Cold_153"
154,"Cold",0,0,0,0,0,0,"Cold_154"
155,"Cold",3,0,2,0,3,0,"Cold_155"
156,"Cold",9,0,4,0,9,0,"Cold_156"
157,"Cold",1,0,1,0,1,0,"Cold_157"
158,"Cold",0,0,0,0,0,0,"Cold_158"
159,"Cold",0,3,0,0,3,0,"Cold_159"
160,"Cold",0,2,0,0,2,0,"Cold_160"
161,"Cold",0,0,0,0,0,0,"Cold_161"
162,"Cold",0,1,0,0,1,0,"Cold_162"
163,"Cold",3,1,3,1,4,0,"Cold_163"
164,"Cold",7,7,6,1,14,1,"Cold_164"
165,"Cold",2,8,2,2,10,0,"Cold_165"
166,"Cold",0,7,0,1,7,0,"Cold_166"
167,"Cold",0,11,0,2,11,1,"Cold_167"
168,"Cold",0,2,0,0,2,0,"Cold_168"
169,"Cold",0,0,0,0,0,0,"Cold_169"
170,"Cold",2,3,2,2,5,0,"Cold_170"
171,"Cold",0,0,0,0,0,0,"Cold_171"
172,"Cold",0,0,0,0,0,1,"Cold_172"
173,"Cold",0,0,0,0,0,0,"Cold_173"
174,"Cold",0,0,0,0,0,0,"Cold_174"
175,"Cold",0,0,0,0,0,0,"Cold_175"
176,"Cold",0,0,0,0,0,1,"Cold_176"
177,"Cold",0,0,0,0,0,0,"Cold_177"
178,"Cold",0,8,0,0,8,0,"Cold_178"
179,"Cold",0,1,0,0,1,0,"Cold_179"
180,"Cold",0,0,0,0,0,0,"Cold_180"
181,"Cold",1,11,1,0,12,0,"Cold_181"
182,"Cold",1,8,1,0,9,1,"Cold_182"
183,"Cold",2,5,2,0,7,0,"Cold_183"
184,"Cold",0,9,0,2,9,0,"Cold_184"
185,"Cold",0,5,0,1,5,0,"Cold_185"
186,"Cold",0,5,0,0,5,0,"Cold_186"
187,"Cold",0,1,0,0,1,0,"Cold_187"
188,"Cold",0,0,0,0,0,0,"Cold_188"
189,"Cold",0,11,0,2,11,0,"Cold_189"
190,"Cold",0,1,0,1,1,0,"Cold_190"
191,"Cold",2,1,2,0,3,0,"Cold_191"
192,"Cold",1,1,1,1,2,1,"Cold_192"
193,"Cold",0,0,0,0,0,0,"Cold_193"
194,"Cold",0,0,0,0,0,0,"Cold_194"
195,"Cold",0,0,0,0,0,0,"Cold_195"
196,"Cold",0,0,0,0,0,1,"Cold_196"
197,"Cold",0,0,0,0,0,0,"Cold_197"
198,"Cold",0,0,0,0,0,0,"Cold_198"
199,"Cold",0,3,0,0,3,0,"Cold_199"
200,"Cold",1,9,1,0,10,1,"Cold_200"
201,"Cold",0,9,0,0,9,0,"Cold_201"
202,"Cold",0,7,0,1,7,0,"Cold_202"
203,"Cold",1,1,1,0,2,0,"Cold_203"
204,"Cold",1,3,1,0,4,0,"Cold_204"
205,"Cold",0,10,0,2,10,0,"Cold_205"
206,"Cold",0,9,0,1,9,1,"Cold_206"
207,"Cold",0,9,0,3,9,0,"Cold_207"
208,"Cold",0,2,0,0,2,0,"Cold_208"
209,"Cold",1,5,1,0,6,0,"Cold_209"
210,"Cold",0,3,0,0,3,0,"Cold_210"
211,"Cold",0,9,0,4,9,0,"Cold_211"
212,"Cold",0,16,0,12,16,1,"Cold_212"
213,"Cold",0,0,0,0,0,0,"Cold_213"
214,"Cold",0,1,0,0,1,0,"Cold_214"
215,"Cold",0,0,0,0,0,0,"Cold_215"
216,"Cold",0,0,0,0,0,0,"Cold_216"
217,"Cold",0,0,0,0,0,0,"Cold_217"
218,"Cold",0,0,0,0,0,0,"Cold_218"
219,"Cold",0,0,0,0,0,0,"Cold_219"
220,"Cold",0,0,0,0,0,0,"Cold_220"
221,"Cold",4,2,4,0,6,0,"Cold_221"
222,"Cold",2,3,2,0,5,0,"Cold_222"
223,"Cold",0,5,0,0,5,0,"Cold_223"
224,"Cold",2,12,2,2,14,1,"Cold_224"
225,"Cold",0,12,0,0,12,0,"Cold_225"
226,"Cold",0,0,0,0,0,0,"Cold_226"
227,"Cold",0,1,0,0,1,0,"Cold_227"
228,"Cold",0,4,0,0,4,0,"Cold_228"
229,"Cold",1,6,1,0,7,0,"Cold_229"
230,"Cold",1,7,1,0,8,0,"Cold_230"
231,"Cold",0,16,0,0,16,1,"Cold_231"
232,"Cold",0,8,0,0,8,0,"Cold_232"
233,"Cold",4,9,4,1,13,0,"Cold_233"
234,"Cold",1,1,1,0,2,0,"Cold_234"
235,"Cold",0,0,0,0,0,0,"Cold_235"
236,"Cold",0,0,0,0,0,0,"Cold_236"
237,"Cold",0,0,0,0,0,0,"Cold_237"
238,"Cold",0,0,0,0,0,0,"Cold_238"
239,"Cold",0,0,0,0,0,0,"Cold_239"
240,"Cold",0,0,0,0,0,0,"Cold_240"
241,"Cold",0,0,0,0,0,0,"Cold_241"
242,"Cold",0,0,0,0,0,1,"Cold_242"
243,"Cold",11,0,11,0,11,1,"Cold_243"
244,"Cold",5,0,5,0,5,0,"Cold_244"
245,"Cold",0,1,0,0,1,0,"Cold_245"
246,"Cold",0,2,0,0,2,0,"Cold_246"
247,"Cold",0,10,0,0,10,0,"Cold_247"
248,"Cold",0,0,0,0,0,0,"Cold_248"
249,"Cold",0,0,0,0,0,0,"Cold_249"
250,"Cold",0,6,0,1,6,0,"Cold_250"
251,"Cold",0,16,0,1,16,1,"Cold_251"
252,"Cold",0,9,0,1,9,0,"Cold_252"
253,"Cold",0,3,0,0,3,0,"Cold_253"
254,"Cold",0,3,0,0,3,0,"Cold_254"
255,"Cold",0,2,0,0,2,1,"Cold_255"
256,"Cold",0,0,0,0,0,0,"Cold_256"
257,"Cold",0,0,0,0,0,0,"Cold_257"
258,"Cold",0,0,0,0,0,1,"Cold_258"
259,"Cold",0,0,0,0,0,0,"Cold_259"
260,"Cold",0,0,0,0,0,0,"Cold_260"
261,"Cold",0,0,0,0,0,1,"Cold_261"
262,"Cold",0,0,0,0,0,0,"Cold_262"
263,"Cold",0,0,0,0,0,0,"Cold_263"
264,"Cold",0,0,0,0,0,0,"Cold_264"
265,"Cold",9,0,9,0,9,0,"Cold_265"
266,"Cold",1,0,1,0,1,0,"Cold_266"
267,"Cold",0,6,0,0,6,0,"Cold_267"
268,"Cold",2,10,1,0,12,0,"Cold_268"
269,"Cold",0,11,0,0,11,1,"Cold_269"
270,"Cold",0,3,0,0,3,0,"Cold_270"
271,"Cold",0,0,0,0,0,0,"Cold_271"
272,"Cold",0,0,0,0,0,0,"Cold_272"
273,"Cold",0,2,0,0,2,0,"Cold_273"
274,"Cold",0,0,0,0,0,0,"Cold_274"
275,"Cold",0,3,0,0,3,0,"Cold_275"
276,"Cold",0,0,0,0,0,0,"Cold_276"
277,"Cold",1,0,1,0,1,0,"Cold_277"
278,"Cold",0,0,0,0,0,0,"Cold_278"
279,"Cold",0,0,0,0,0,0,"Cold_279"
280,"Cold",1,3,1,0,4,0,"Cold_280"
281,"Cold",0,0,0,0,0,0,"Cold_281"
282,"Cold",0,0,0,0,0,0,"Cold_282"
283,"Cold",0,0,0,0,0,0,"Cold_283"
284,"Cold",0,0,0,0,0,0,"Cold_284"
285,"Cold",0,0,0,0,0,1,"Cold_285"
286,"Cold",0,0,0,0,0,0,"Cold_286"
287,"Cold",0,10,0,0,10,0,"Cold_287"
288,"Cold",0,7,0,0,7,0,"Cold_288"
289,"Cold",0,13,0,3,13,1,"Cold_289"
290,"Cold",0,5,0,0,5,0,"Cold_290"
291,"Cold",0,6,0,1,6,0,"Cold_291"
292,"Cold",0,7,0,2,7,0,"Cold_292"
293,"Cold",0,0,0,0,0,0,"Cold_293"
294,"Cold",0,0,0,0,0,0,"Cold_294"
295,"Cold",0,0,0,0,0,0,"Cold_295"
296,"Cold",0,5,0,3,5,0,"Cold_296"
297,"Cold",0,3,0,1,3,1,"Cold_297"
298,"Cold",0,0,0,0,0,0,"Cold_298"
299,"Cold",0,0,0,0,0,0,"Cold_299"
300,"Cold",0,0,0,0,0,0,"Cold_300"
301,"Cold",0,0,0,0,0,1,"Cold_301"
302,"Cold",0,0,0,0,0,0,"Cold_302"
303,"Cold",0,0,0,0,0,0,"Cold_303"
304,"Cold",0,0,0,0,0,0,"Cold_304"
305,"Cold",0,0,0,0,0,0,"Cold_305"
306,"Cold",0,0,0,0,0,0,"Cold_306"
307,"Cold",0,0,0,0,0,0,"Cold_307"
308,"Cold",0,0,0,0,0,0,"Cold_308"
309,"Cold",0,25,0,1,25,1,"Cold_309"
310,"Cold",0,8,0,0,8,0,"Cold_310"
311,"Cold",0,12,0,0,12,0,"Cold_311"
312,"Cold",0,2,0,0,2,0,"Cold_312"
313,"Cold",0,2,0,0,2,0,"Cold_313"
314,"Cold",0,14,0,0,14,1,"Cold_314"
315,"Cold",0,13,0,1,13,0,"Cold_315"
316,"Cold",0,6,0,0,6,0,"Cold_316"
317,"Cold",0,1,0,0,1,0,"Cold_317"
318,"Cold",0,1,0,0,1,0,"Cold_318"
319,"Cold",0,3,0,3,3,0,"Cold_319"
320,"Cold",0,0,0,0,0,0,"Cold_320"
321,"Cold",0,0,0,0,0,1,"Cold_321"
322,"Cold",0,0,0,0,0,0,"Cold_322"
323,"Cold",0,0,0,0,0,0,"Cold_323"
324,"Cold",0,0,0,0,0,0,"Cold_324"
325,"Cold",0,0,0,0,0,0,"Cold_325"
326,"Cold",0,0,0,0,0,1,"Cold_326"
327,"Cold",0,0,0,0,0,0,"Cold_327"
328,"Cold",0,0,0,0,0,0,"Cold_328"
329,"Cold",0,0,0,0,0,0,"Cold_329"
330,"Cold",0,0,0,0,0,1,"Cold_330"
331,"Cold",0,9,0,0,9,0,"Cold_331"
332,"Cold",0,3,0,0,3,0,"Cold_332"
333,"Cold",0,0,0,0,0,0,"Cold_333"
334,"Cold",0,4,0,0,4,0,"Cold_334"
335,"Cold",0,0,0,0,0,0,"Cold_335"
336,"Cold",0,10,0,0,10,0,"Cold_336"
337,"Cold",1,6,1,0,7,0,"Cold_337"
338,"Cold",0,13,0,1,13,1,"Cold_338"
339,"Cold",2,10,2,0,12,0,"Cold_339"
340,"Cold",3,4,3,0,7,0,"Cold_340"
341,"Cold",0,0,0,0,0,0,"Cold_341"
342,"Cold",0,0,0,0,0,0,"Cold_342"
343,"Cold",0,0,0,0,0,0,"Cold_343"
344,"Cold",0,0,0,0,0,0,"Cold_344"
345,"Cold",0,0,0,0,0,0,"Cold_345"
346,"Cold",0,0,0,0,0,0,"Cold_346"
347,"Cold",0,0,0,0,0,0,"Cold_347"
348,"Cold",0,0,0,0,0,0,"Cold_348"
349,"Cold",0,0,0,0,0,0,"Cold_349"
350,"Cold",0,0,0,0,0,1,"Cold_350"
351,"Cold",0,0,0,0,0,0,"Cold_351"
352,"Cold",0,0,0,0,0,0,"Cold_352"
353,"Cold",0,0,0,0,0,0,"Cold_353"
354,"Cold",0,0,0,0,0,0,"Cold_354"
355,"Cold",0,7,0,0,7,0,"Cold_355"
356,"Cold",0,9,0,1,9,1,"Cold_356"
357,"Cold",0,2,0,0,2,0,"Cold_357"
358,"Cold",0,1,0,0,1,0,"Cold_358"
359,"Cold",2,13,2,3,15,0,"Cold_359"
360,"Cold",0,12,0,0,12,0,"Cold_360"
361,"Cold",1,4,1,0,5,0,"Cold_361"
362,"Cold",6,5,6,1,11,1,"Cold_362"
363,"Cold",0,0,0,0,0,0,"Cold_363"
364,"Cold",0,0,0,0,0,0,"Cold_364"
365,"Cold",0,0,0,0,0,0,"Cold_365"
366,"Cold",0,0,0,0,0,1,"Cold_366"
367,"Cold",0,0,0,0,0,0,"Cold_367"
368,"Cold",0,0,0,0,0,0,"Cold_368"
369,"Cold",0,0,0,0,0,0,"Cold_369"
370,"Cold",0,0,0,0,0,0,"Cold_370"
371,"Cold",0,0,0,0,0,0,"Cold_371"
372,"Cold",0,0,0,0,0,0,"Cold_372"
373,"Cold",0,0,0,0,0,0,"Cold_373"
374,"Cold",0,0,0,0,0,0,"Cold_374"
375,"Cold",0,0,0,0,0,0,"Cold_375"
376,"Cold",0,4,0,0,4,0,"Cold_376"
377,"Cold",0,9,0,1,9,0,"Cold_377"
378,"Cold",0,11,0,3,11,0,"Cold_378"
379,"Cold",0,1,0,0,1,0,"Cold_379"
380,"Cold",0,5,0,0,5,0,"Cold_380"
381,"Cold",0,9,0,0,9,1,"Cold_381"
382,"Cold",0,6,0,0,6,0,"Cold_382"
383,"Cold",0,1,0,1,1,0,"Cold_383"
384,"Cold",0,14,0,8,14,0,"Cold_384"
385,"Cold",0,2,0,2,2,0,"Cold_385"
386,"Cold",0,0,0,0,0,1,"Cold_386"
387,"Cold",0,0,0,0,0,0,"Cold_387"
388,"Cold",0,0,0,0,0,0,"Cold_388"
389,"Cold",0,0,0,0,0,0,"Cold_389"
390,"Cold",0,0,0,0,0,0,"Cold_390"
391,"Cold",0,0,0,0,0,0,"Cold_391"
392,"Cold",0,0,0,0,0,1,"Cold_392"
393,"Cold",0,0,0,0,0,0,"Cold_393"
394,"Cold",0,0,0,0,0,0,"Cold_394"
395,"Cold",0,0,0,0,0,0,"Cold_395"
396,"Cold",0,0,0,0,0,1,"Cold_396"
397,"Cold",0,4,0,0,4,0,"Cold_397"
398,"Cold",0,7,0,1,7,0,"Cold_398"
399,"Cold",0,21,0,6,21,1,"Cold_399"
400,"Cold",0,1,0,1,1,0,"Cold_400"
401,"Cold",0,1,0,0,1,0,"Cold_401"
402,"Cold",0,9,0,0,9,0,"Cold_402"
403,"Cold",0,8,0,0,8,0,"Cold_403"
404,"Cold",0,2,0,0,2,0,"Cold_404"
405,"Cold",0,0,0,0,0,0,"Cold_405"
406,"Cold",0,1,0,0,1,0,"Cold_406"
407,"Cold",0,2,0,0,2,0,"Cold_407"
408,"Cold",0,0,0,0,0,0,"Cold_408"
409,"Cold",0,0,0,0,0,0,"Cold_409"
410,"Cold",0,0,0,0,0,0,"Cold_410"
411,"Cold",0,0,0,0,0,1,"Cold_411"
412,"Cold",0,0,0,0,0,0,"Cold_412"
413,"Cold",0,0,0,0,0,0,"Cold_413"
414,"Cold",0,0,0,0,0,0,"Cold_414"
415,"Cold",0,0,0,0,0,0,"Cold_415"
416,"Cold",0,0,0,0,0,0,"Cold_416"
417,"Cold",0,0,0,0,0,0,"Cold_417"
418,"Cold",0,0,0,0,0,0,"Cold_418"
419,"Cold",0,18,0,5,18,1,"Cold_419"
420,"Cold",0,11,0,0,11,0,"Cold_420"
421,"Cold",0,10,0,0,10,0,"Cold_421"
422,"Cold",0,8,0,1,8,0,"Cold_422"
423,"Cold",0,8,0,1,8,0,"Cold_423"
424,"Cold",0,18,0,0,18,1,"Cold_424"
425,"Cold",0,12,0,0,12,0,"Cold_425"
426,"Cold",0,14,0,0,14,0,"Cold_426"
427,"Cold",0,5,0,0,5,0,"Cold_427"
428,"Cold",1,15,1,1,16,0,"Cold_428"
429,"Cold",0,25,0,0,25,1,"Cold_429"
430,"Cold",0,3,0,0,3,0,"Cold_430"
431,"Cold",0,0,0,0,0,0,"Cold_431"
432,"Cold",0,0,0,0,0,0,"Cold_432"
433,"Cold",0,0,0,0,0,0,"Cold_433"
434,"Cold",0,0,0,0,0,0,"Cold_434"
435,"Cold",0,0,0,0,0,1,"Cold_435"
436,"Cold",0,0,0,0,0,0,"Cold_436"
437,"Cold",0,0,0,0,0,0,"Cold_437"
438,"Cold",0,0,0,0,0,0,"Cold_438"
439,"Cold",0,0,0,0,0,0,"Cold_439"
440,"Cold",0,0,0,0,0,0,"Cold_440"
441,"Cold",0,9,0,0,9,0,"Cold_441"
442,"Cold",0,0,0,0,0,0,"Cold_442"
443,"Cold",0,10,0,0,10,0,"Cold_443"
444,"Cold",0,23,0,0,23,1,"Cold_444"
445,"Cold",0,6,0,1,6,0,"Cold_445"
446,"Cold",0,9,0,1,9,0,"Cold_446"
447,"Cold",0,11,0,0,11,0,"Cold_447"
448,"Cold",0,18,0,4,18,1,"Cold_448"
449,"Cold",0,16,0,0,16,0,"Cold_449"
450,"Cold",0,5,0,1,5,0,"Cold_450"
451,"Cold",0,5,0,0,5,0,"Cold_451"
452,"Cold",0,0,0,0,0,0,"Cold_452"
453,"Cold",0,0,0,0,0,1,"Cold_453"
454,"Cold",0,0,0,0,0,0,"Cold_454"
455,"Cold",0,0,0,0,0,0,"Cold_455"
456,"Cold",0,0,0,0,0,0,"Cold_456"
457,"Cold",0,0,0,0,0,0,"Cold_457"
458,"Cold",0,0,0,0,0,0,"Cold_458"
459,"Cold",0,0,0,0,0,0,"Cold_459"
460,"Cold",0,0,0,0,0,1,"Cold_460"
461,"Cold",0,0,0,0,0,0,"Cold_461"
462,"Cold",0,0,0,0,0,0,"Cold_462"
463,"Cold",0,0,0,0,0,0,"Cold_463"
464,"Cold",0,3,0,0,3,0,"Cold_464"
465,"Cold",0,11,0,1,11,0,"Cold_465"
466,"Cold",1,6,1,0,7,0,"Cold_466"
467,"Cold",0,3,0,0,3,0,"Cold_467"
468,"Cold",0,0,0,0,0,0,"Cold_468"
469,"Cold",0,1,0,0,1,0,"Cold_469"
470,"Cold",0,17,0,0,17,0,"Cold_470"
471,"Cold",0,15,0,1,15,0,"Cold_471"
472,"Cold",0,1,0,0,1,0,"Cold_472"
473,"Cold",0,0,0,0,0,0,"Cold_473"
474,"Cold",0,2,0,0,2,0,"Cold_474"
475,"Cold",0,0,0,0,0,0,"Cold_475"
476,"Cold",0,0,0,0,0,0,"Cold_476"
477,"Cold",0,0,0,0,0,0,"Cold_477"
478,"Cold",0,0,0,0,0,0,"Cold_478"
479,"Cold",0,0,0,0,0,0,"Cold_479"
480,"Cold",0,0,0,0,0,1,"Cold_480"
481,"Cold",0,0,0,0,0,0,"Cold_481"
482,"Cold",0,0,0,0,0,0,"Cold_482"
483,"Cold",0,0,0,0,0,0,"Cold_483"
484,"Cold",0,0,0,0,0,0,"Cold_484"
485,"Cold",0,0,0,0,0,0,"Cold_485"
486,"Cold",0,4,0,0,4,0,"Cold_486"
487,"Cold",0,16,0,1,16,1,"Cold_487"
488,"Cold",0,4,0,0,4,0,"Cold_488"
489,"Cold",0,1,0,0,1,0,"Cold_489"
490,"Cold",0,5,0,0,5,0,"Cold_490"
491,"Cold",0,0,0,0,0,0,"Cold_491"
492,"Cold",0,26,0,4,26,0,"Cold_492"
493,"Cold",0,29,0,1,29,1,"Cold_493"
494,"Cold",0,4,0,0,4,0,"Cold_494"
495,"Cold",0,0,0,0,0,0,"Cold_495"
496,"Cold",0,0,0,0,0,0,"Cold_496"
497,"Cold",0,0,0,0,0,0,"Cold_497"
498,"Cold",0,0,0,0,0,1,"Cold_498"
499,"Cold",0,0,0,0,0,0,"Cold_499"
500,"Cold",0,0,0,0,0,0,"Cold_500"
501,"Cold",0,0,0,0,0,0,"Cold_501"
502,"Cold",0,0,0,0,0,0,"Cold_502"
503,"Cold",0,0,0,0,0,0,"Cold_503"
504,"Cold",0,0,0,0,0,0,"Cold_504"
505,"Cold",0,0,0,0,0,0,"Cold_505"
506,"Cold",0,0,0,0,0,0,"Cold_506"
507,"Cold",0,10,0,0,10,0,"Cold_507"
508,"Cold",0,7,0,0,7,0,"Cold_508"
509,"Cold",0,11,0,0,11,0,"Cold_509"
510,"Cold",0,11,0,1,11,0,"Cold_510"
511,"Cold",0,11,0,0,11,0,"Cold_511"
512,"Cold",0,15,0,1,15,1,"Cold_512"
513,"Cold",0,15,0,0,15,0,"Cold_513"
514,"Cold",2,16,2,0,18,0,"Cold_514"
